Wardcode,Population2011Census,Crimerate,Openspace
00ANGQ,11201,117.7,0
00ANGA,11518,114,.3
00ADGN,10800,44.2,.7
00BEGH,12321,65.3,.7
00BCFZ,12609,64.3,1.3
00AGGD,12702,67.6,1.3
00BGGL,10286,213.5,1.4
00BEGD,15032,128.1,1.6
00BKGC,11991,255.3,2.1
00BBGL,17362,111.2,2.2
00AHGE,16883,69.4,2.3
00BBGM,15885,70.4,2.4
00BJGN,14160,84.9,2.4
00BJGF,15198,105.1,2.6
00AZGG,15214,57,3
00ABFZ,11545,91.7,3
00BKGF,12034,95.3,3
00BEGU,13780,107.3,3
00AFHA,9824,26.6,3.1
00ANGE,10996,111.6,3.1
00BBGN,15113,85.5,3.2
00BCGC,11516,89.3,3.3
00AQGT,11394,85.8,3.4
00ANGB,14160,73.1,3.6
00AHGT,14607,81.7,3.8
00BEGN,14136,97.6,3.8
00BKGB,10300,118.2,3.8
00BKGW,10575,2100.2,3.9
00BKGT,9369,162,4
00ANGR,13389,79.2,4.2
00BHGD,14604,69.1,4.3
00BKGN,12563,98.3,4.4
00BEGM,14129,126.4,4.5
00BEGL,15362,140.5,4.5
00AHGH,18652,219.7,4.5
00BCGB,14257,67.1,4.8
00APGC,14483,111.6,4.9
00BHFX,13799,84.6,5
00BHGR,13269,81,5.3
00AGGQ,13417,126.3,5.3
00BGGN,14862,146.5,5.4
00BEGF,15178,122.6,5.6
00BAGE,8977,52,5.7
00AGGJ,11986,65.2,5.7
00AXGL,10459,30.3,5.8
00AWGM,9847,100.2,5.8
00BHGN,12879,109.2,5.8
00ADGU,11135,30,5.9
00AWFY,10013,97.2,5.9
00BEGY,15565,150.3,6
00BBGC,15982,109.5,6.1
00BGFW,13683,123.6,6.1
00AJGF,14029,159.6,6.1
00BKGM,10366,376.3,6.1
00AEGR,14915,141,6.9
00AXGA,12373,48.7,7
00BEGC,13174,100.1,7
00BEGQ,14720,126.2,7
00AQGH,11138,45.6,7.2
00BKGA,11250,56.8,7.2
00AGGG,11925,110.4,7.4
00ATGT,11448,117.8,7.4
00AGGP,13023,480.3,7.5
00BKGE,11760,111,7.6
00AHGG,16201,68.8,7.7
00AQGB,12420,151.9,7.7
00BCGE,14666,183.3,7.7
00BFGP,9599,43.5,8.1
00AUGK,12400,93.2,8.1
00ARGR,15921,225.4,8.1
00AGGM,12364,118.8,8.2
00AQGK,12259,83.2,8.3
00ANGH,11004,75.5,8.5
00AWGG,8792,108.6,8.5
00BKGJ,13195,172.3,8.6
00ANGC,12216,81.2,8.8
00AGGX,12060,97.6,8.8
00BKGG,12462,155.4,8.9
00AEGQ,17162,189.6,8.9
00AWGR,8187,134.7,9.1
00ADGE,10546,31.7,9.2
00AGGE,10892,438.7,9.2
00AWGK,9537,100.5,9.3
00AUGB,11490,195.4,9.3
00ANGG,11923,230.4,9.4
00ADGC,10616,25.8,9.5
00BJGH,14679,63.7,9.5
00BFGT,10200,72,9.5
00AEGL,13023,91.6,9.6
00AUGL,11553,253.8,9.6
00AZGS,15618,74.7,9.7
00AEGU,15529,97.9,9.7
00ANGP,12175,349.3,9.7
00ANGL,10813,124,9.8
00AWGE,9104,105.6,10
00ATGP,12658,130.4,10.2
00AYGE,15032,172.6,10.2
00BBGR,15470,74,10.3
00BFGJ,10641,50.7,10.4
00AUGJ,12917,88.9,10.4
00AUGM,11822,149.9,10.4
00AUGE,15030,86.8,10.5
00APGQ,14580,151.9,10.5
00AWGB,8377,197.2,10.5
00BCGS,11865,67.8,10.6
00ANGJ,11589,97.7,10.6
00BHGJ,13912,110.2,10.6
00AQGP,11124,44.4,10.7
00AXFY,9437,34.1,10.8
00AWFZ,8839,291.9,10.8
00BBGG,15917,174.4,10.9
00AXGE,9750,36.4,11
00BJGC,15022,49,11
00AQFY,11343,56.1,11
00AUFX,12201,150.3,11
00ATGL,15169,213.4,11.1
00BJGD,14613,83.7,11.2
00AHHA,16539,95.9,11.2
00AEGT,16989,123.3,11.2
00BBGU,17768,185.7,11.2
00AEGN,15059,112.1,11.5
00APGK,13939,247.3,11.5
00BGGB,14480,78,11.7
00BJFZ,14751,90.3,11.7
00AZGP,14573,84.4,11.9
00AWGL,7659,163.4,11.9
00BAGDag,9816,61,12.3
00BBGH,13866,79.7,12.3
00AMGD,12212,82.5,12.3
00BGGE,15190,85,12.4
00BJGG,15358,85,12.5
00BGGC,14859,107.4,12.5
00AMGB,13392,63.2,12.8
00BAFX,10323,82,12.8
00BFGM,10993,179.9,12.9
00ADGG,11128,44.6,13.1
00AZGU,15605,83.7,13.1
00AYGA,15842,112.2,13.1
00AYGN,14777,94.4,13.2
00AYGM,14550,129.7,13.2
00AYGC,13795,179.5,13.2
00AUGN,13311,87.4,13.3
00AYGH,14763,90.8,13.3
00AWGC,8933,99.4,13.3
00AMGS,12445,111.6,13.3
00ACGR,16533,76.1,13.4
00AGGR,12038,135.2,13.4
00ADGS,10598,41.1,13.5
00AZGF,17156,118.9,13.5
00AGGU,13818,120.8,13.5
00AGGS,11843,164.3,13.5
00AUFY,14639,179.7,13.5
00AZGQ,17446,185.1,13.6
00ACGF,15715,53.5,13.7
00AEGZ,15155,85,13.7
00BBGK,16257,90.8,13.8
00BCGT,14123,146.7,13.8
00ADGD,10910,36.6,13.9
00AMGG,12548,136.8,14.1
00AJGY,13439,147.1,14.1
00APGD,12395,80.9,14.2
00AYGP,14263,81.5,14.2
00AMGF,13643,100.9,14.2
00AJHA,13474,72.4,14.3
00AQGG,11135,40.5,14.4
00AUGA,12072,103.9,14.4
00AYGD,16784,194.9,14.4
00APGH,12659,66.1,14.5
00AGGW,12900,87,14.5
00BAFZ,10712,92.8,14.5
00BBGS,16404,125.3,14.5
00ACGH,18818,83.3,14.6
00AQGA,11653,63.9,15
00BGGM,13206,195.8,15
00ACFZ,20049,107.1,15.1
00BAGB,9275,79,15.2
00AGGF,12613,411.2,15.2
00ACGN,15811,59.6,15.3
00AKGL,14051,61.8,15.3
00AWGJ,8675,91,15.3
00BEGE,14941,208.6,15.3
00AQGQ,12828,53.5,15.4
00AKGZ,15162,80.2,15.4
00ALGQ,12875,76.4,15.5
00BKGK,10633,101.8,15.5
00AMGQ,13670,149.1,15.6
00BAGP,9798,117,15.7
00ATGH,12288,78.6,15.8
00AGGK,11264,79.1,15.9
00AUGC,14358,182.9,15.9
00AHGY,14296,39.6,16
00AKHE,14906,54.5,16
00ABGM,9867,88.6,16
00AHGS,16476,77.4,16.1
00AFGK,15560,51.4,16.3
00AJGZ,14579,102.7,16.3
00ANGM,10785,107.6,16.3
00AEHA,16903,119.9,16.3
00ACGK,18472,81.9,16.4
00ABGP,10575,90.7,16.4
00AUFZ,13896,116.7,16.4
00AYGU,15771,95.8,16.6
00AUGH,12025,99.9,16.6
00AZGR,15756,144.9,16.6
00ARGU,13194,52.7,16.7
00BJGB,15448,68,16.7
00BCGM,13672,80.2,16.8
00AYGW,14143,100.4,16.8
00AUGG,14983,79.4,16.9
00BGFX,14166,128.5,16.9
00AEGS,12133,59.7,17
00BJGP,16256,72.3,17
00AHGK,13449,41.2,17.1
00AFGL,15392,69.5,17.1
00ABGE,11267,82.9,17.1
00AMGE,14727,198,17.1
00ADGF,10965,110.8,17.3
00ABGJ,9839,79.2,17.5
00AHGZ,16518,100.5,17.5
00AJGX,14873,106.8,17.5
00AHGM,16569,261.1,17.5
00AKHG,17374,125.1,17.6
00BHGQ,11444,145.1,17.6
00ASGK,11658,43.1,17.7
00AEGJ,14017,103.1,17.7
00AHHD,17489,112.2,17.7
00ATGN,11409,54.8,17.9
00AQGJ,11173,57.1,17.9
00ASGS,11442,56,18
00BFGR,10163,56.2,18
00AGGH,11740,80.4,18
00AFGG,16826,155.7,18
00ABGC,11624,87.6,18.1
00AUGF,11794,69.3,18.3
00AYGR,14906,81.4,18.3
00BCGL,16544,108,18.3
00AHGW,18087,140.2,18.3
00AQGR,11663,64.1,18.4
00BHGB,10730,55,18.5
00BJGE,15504,54,18.8
00ARGS,13334,82,18.8
00BAGJ,9485,69.5,18.9
00BFGE,10048,30.5,19
00BAGF,10273,68,19
00AHGL,15790,73.3,19.1
00AEGX,15474,86.3,19.1
00AEGY,15281,115,19.1
00AMGJ,13904,382.1,19.1
00BKGU,12759,99,19.2
00ACGT,17575,92.8,19.3
00AJGP,13897,64.1,19.4
00AHHB,16082,85.7,19.5
00AJGH,18706,144.3,19.6
00ABFX,12786,172.5,19.6
00AQGU,10373,45.4,19.7
00AYGT,13641,103.6,19.7
00AEHC,15105,132.9,19.7
00BFGS,10650,60,19.9
00BCGD,13241,66.7,19.9
00ALGS,13062,60,20
00BEGW,12629,72.6,20
00APGM,14638,91.5,20
00AYGJ,17243,113.7,20
00BEGP,13620,98.5,20.1
00AJHB,13330,100.1,20.1
00AEHE,14727,156.3,20.1
00ACFY,18217,67.8,20.2
00ABGD,12452,135.2,20.3
00BJGU,14742,51.6,20.5
00AMGC,13232,134.3,20.5
00AKHD,13787,65.9,20.6
00AZGH,14937,70.7,20.7
00AYGL,14262,142.1,20.7
00ACGA,17098,68.8,20.8
00ABGK,10923,92.8,20.8
00ANGF,11306,98.4,20.9
00AMGT,13231,109.7,20.9
00BGGH,16238,99.2,21.2
00BDGP,9752,57,21.3
00BCGP,16760,73.4,21.4
00BFGL,10712,52.6,21.5
00AXGH,9431,34,21.6
00AZGM,14648,69.9,21.6
00AUGD,11634,96.6,21.6
00BBGD,14810,125.7,21.7
00AWGQ,9343,85.1,21.9
00AFGD,15098,45.3,22.1
00AQGM,10411,.9,22.2
00AHGF,14721,62.7,22.2
00AZGL,14854,78.2,22.2
00AJGG,14019,91.3,22.2
00BKGD,9618,107.2,22.2
00BFGW,11655,42.3,22.3
00AYGS,12526,59.9,22.4
00ABFY,10385,93.2,22.4
00ATGQ,11977,83.3,22.6
00BHFY,12700,84.2,22.6
00AJGL,14349,87,22.6
00AZGK,16603,95.7,22.6
00AXGN,9578,42.7,22.7
00AHGN,11479,64.7,22.8
00AMGM,14039,84.4,23
00BAGC,11240,99,23
00APGL,14429,124.1,23
00BFGQ,10536,39.9,23.1
00BEGS,14390,147.9,23.2
00AQGN,11984,55.4,23.3
00BGGD,15986,84.2,23.4
00APGN,15968,95.2,23.4
00BDGH,11172,55.1,23.5
00BBGJ,15575,92,23.5
00AXGF,10955,366.4,23.6
00AXGK,10483,63.1,23.9
00ARGH,12262,32.8,24.1
00AZGT,14916,140.6,24.1
00BEGJ,11557,166.9,24.1
00BGGK,15110,77.9,24.2
00ACGG,15929,82.1,24.2
00AFGN,16769,84.7,24.2
00AJGC,15427,100.9,24.2
00BAGM,9738,48.3,24.4
00AFGY,13651,37.6,24.6
00ALGT,12519,59.9,24.6
00APGP,11758,69.9,24.6
00APGE,12488,71.2,24.6
00BFGH,10285,45.3,24.7
00BCGH,12910,76.8,24.9
00AYGK,15106,146.2,24.9
00ANGN,12760,73.8,25
00AKHH,13403,54.1,25.2
00AFGX,17326,97.7,25.2
00APGB,13725,92.6,25.3
00AJGQ,13517,49,25.6
00AZGN,14515,90.7,25.6
00AYGF,13712,94.3,25.7
00ADGW,10844,53.1,25.8
00ARGM,12952,61.9,26
00BFGK,11949,75.5,26
00AJGK,17625,113.5,26.2
00ASHA,13979,123,26.2
00AFGW,15311,77.6,26.3
00ADGL,10858,45.3,26.5
00AMGR,12378,64.6,26.5
00AXFZ,10109,74.5,26.5
00AYGQ,14336,69.7,26.6
00BBGQ,15318,83.3,26.6
00BBGE,15996,86.2,26.6
00AEGM,13425,94.9,26.6
00ATGC,12330,105,26.6
00BDGK,9987,41.4,26.7
00AJGM,15561,73.2,26.7
00APGU,14514,99.2,26.8
00BJGM,16556,89.3,26.9
00ASGW,14767,97.8,26.9
00BFGN,10355,49.9,27
00BDGD,10313,59,27
00BFGF,10039,60,27
00AKGU,16263,72.3,27
00AGGT,13528,182.8,27
00ATGJ,12319,83.7,27.1
00BHGM,14184,104.6,27.1
00AKHC,14454,59.3,27.2
00BKGL,10210,76.6,27.2
00BBGX,15551,78.6,27.2
00AKGT,12709,70.2,27.4
00AXGB,8741,49.8,27.5
00AMGK,15174,103.8,27.6
00ASGG,13449,96.8,27.8
00APGT,13431,97.8,27.8
00AYGB,12852,91.7,27.9
00AZGX,14249,95.8,27.9
00AWGA,8178,136.8,27.9
00ACFX,16394,55.9,28
00AMGP,12551,75.2,28
00AXGJ,8969,41.6,28.2
00BDGB,9387,64.2,28.2
00ALGZ,14300,72.7,28.2
00AMGA,11091,79.1,28.2
00AWGH,9767,93.2,28.2
00AWGN,9245,84.8,28.4
00BAGS,11197,54.6,28.5
00AQGL,10026,56.7,28.6
00BHGP,13636,105.4,29
00APGR,15064,133.3,29
00AWGD,7964,89.4,29.2
00AKHB,14506,103.3,29.3
00AMGU,11734,95.9,29.5
00AKGM,13923,53.7,29.6
00BCGN,10422,56.3,29.9
00ADGQ,10442,40.7,30
00BKGS,9988,92.5,30
00BCGR,15164,96.4,30
00BEGK,12839,108.6,30
00AZGJ,14567,90.4,30.1
00ABGG,11478,91.9,30.3
00BGFZ,14781,113.1,30.3
00ALGW,10399,61.6,30.5
00AKHF,14377,74.6,30.5
00BCGJ,13069,93.8,30.6
00BBGF,13411,136,30.6
00BKGQ,10828,1658,30.7
00ASGY,14106,147.8,30.8
00BBGB,15141,121.2,30.9
00AQGE,10693,50.8,31.1
00ARGF,11977,46.7,31.2
00APGJ,10784,81,31.2
00AHGR,10801,87.4,31.2
00BHFZ,14086,95.7,31.2
00BHGK,11337,85.8,31.4
00ASGP,12199,308,31.4
00ALGR,14385,66.2,31.6
00AEGK,15772,83.4,31.6
00AYFZ,9675,311.9,31.6
00BJGT,16402,43.9,31.9
00AEGW,12811,68.6,32
00ASHB,14370,81.8,32
00ACGS,17402,120.5,32
00ARGN,12915,59.9,32.1
00ASGH,15034,111,32.2
00BAGR,9862,57.7,32.3
00BKGR,8158,51.1,32.4
00ARGP,12955,55.9,32.4
00AFHB,14884,40.8,32.6
00ALGX,18171,65.6,32.6
00AHHC,17077,93.8,32.6
00BDFY,10131,38.8,32.7
00AXGM,9833,61.4,33.1
00ADGB,11890,67.6,33.2
00AKGQ,17949,147.7,33.2
00ASGU,11578,59.7,33.3
00AHHE,16743,78.6,33.3
00ASHD,13586,100.8,33.3
00ASGM,12142,52.5,33.4
00BCGF,12780,81.7,33.4
00BGGF,13354,113.9,33.4
00AMGN,12280,61.9,33.6
00BJGR,16239,97,33.7
00ALHB,14051,167.4,33.7
00BEGZ,12402,83.3,33.8
00AMGH,12921,90.8,33.8
00BBGW,14846,63.7,33.9
00BJGJ,14940,112.9,34
00BEGT,13743,107.2,34.1
00AEHD,13753,85.3,34.2
00AJGJ,14539,103.8,34.2
00BAGH,9090,36.5,34.3
00BHGS,13368,89.4,34.4
00AJGS,15183,95.4,34.4
00AXGG,10107,71.6,34.5
00BJGQ,14842,104.9,34.5
00ASGZ,12048,106.1,34.5
00AEHB,14950,82.5,34.6
00AZGE,14039,106.9,34.6
00AWGF,8937,129,34.6
00AJGD,14558,52.3,34.8
00ACGC,16137,59,34.9
00ALHG,19120,137.4,34.9
00BGGG,23084,86.5,35
00ATGB,11543,72.1,35.2
00BCGQ,12044,69.1,35.7
00ADGA,10418,41.8,35.8
00BCGA,11658,62.8,36
00AJGN,14229,65.4,36.1
00ADGK,10864,59.1,36.3
00ATGD,11563,110.8,36.4
00BAGG,10024,58.1,36.6
00AEHF,15587,127.5,36.8
00ADGP,11346,57.2,36.9
00ALHA,13505,72.5,37
00BGGJ,12411,100.6,37
00BHGF,11058,77.2,37.7
00ACGD,15989,69.4,37.8
00BDGM,10396,75.8,37.8
00BAGL,9968,75.9,37.8
00AYGG,15107,133.6,37.9
00APGS,13372,94.7,38.2
00AJGW,15339,89,38.3
00ABGF,10786,109.4,38.4
00BJGK,16331,83.2,38.5
00BFGD,10667,61.1,39.1
00ATGK,12438,126.4,39.1
00AEGP,13445,78.7,39.3
00ALHF,17499,105.3,39.4
00AHGQ,14966,39.8,39.6
00AKGS,16469,70.7,39.6
00BHGL,15671,127.3,40.1
00ACGB,17250,85.4,40.3
00BEGX,13435,85.7,40.3
00BHGC,12609,118.8,40.4
00AFGZ,15122,59.5,40.5
00BFGU,11630,69.2,40.5
00ASGJ,13841,90.4,40.5
00AKGY,16531,71.9,40.6
00AKGR,16027,87.8,40.6
00ALHC,16736,98.1,41
00ASHE,12979,117.7,41.3
00BHGE,11355,74.8,41.4
00ATGE,15541,92.2,41.4
00ATGG,11408,99.1,41.4
00BAGN,10414,66.5,41.6
00BDGF,10919,60.3,41.7
00AXGD,10357,56.8,42.1
00BGFY,19461,90,42.2
00ATGA,11346,103.6,42.2
00APGG,11632,77.9,42.4
00ATGS,13554,94.2,42.5
00BAFY,9249,40.6,42.7
00ADGH,11226,61.3,42.7
00ATFZ,14353,84.3,42.9
00BGGA,12939,145.3,43
00AWGP,7252,120,43.1
00AQGC,12270,65,43.4
00AXFX,9246,49.2,43.5
00AFGT,15892,79.6,43.6
00ACGQ,15915,64.4,43.7
00BEGG,11812,92.9,43.7
00ANGD,9175,133.2,43.8
00ALGP,15704,82.9,43.9
00AFGU,9987,91.1,44.4
00ABGL,10728,143.8,44.4
00AKHA,15664,93,44.5
00ADGM,12053,86,44.6
00ASGL,12622,69.4,44.9
00ARGC,14957,76.8,44.9
00ARGT,13544,87.6,45
00ARGL,12570,72.6,45.3
00ATGF,12155,84.9,45.3
00APGF,13272,108.9,45.4
00BDGN,10528,48.8,45.6
00BEGR,13518,62.3,45.7
00AQGS,11229,62.5,45.8
00ABGH,10342,83.4,45.8
00AZGD,14775,103.1,46.7
00ADGT,10491,41.7,46.8
00AJGE,13910,80.6,47.3
00BDGJ,10820,123.3,47.3
00AJGU,14032,124.6,47.6
00BJGA,14575,62.2,47.9
00ACGL,15307,81.9,47.9
00ABGN,10787,102.3,48
00ASGQ,12906,74.9,48.1
00BJGS,15247,60.6,48.2
00BCGG,12630,91.7,48.2
00AHGU,12777,39.8,48.6
00BBGP,16633,85.2,48.6
00ATGM,14727,97.3,48.7
00ACGJ,17437,57.6,48.8
00ALGY,16527,127.7,49
00AFGP,12255,111.5,49.3
00AQGF,10093,38.6,49.5
00ASHC,10611,67,49.5
00AFGR,14632,38.8,49.7
00BDGC,10221,55.8,50
00BAGA,11474,93.2,50
00ABGB,10506,72.4,51.1
00APGA,11795,101.8,52.3
00ATFY,12701,94.5,52.5
00BAGK,10287,73.5,52.8
00BFGC,10309,67.1,53
00AJGR,14713,69.6,53.3
00ACGE,16728,93.7,54
00BDGG,10649,72.6,54.1
00ATGR,13031,93.3,54.2
00AGGL,11270,111,54.2
00BDFW,10299,61.4,54.4
00ALGU,12541,94.6,54.6
00ANGK,7483,82.6,54.7
00BHGA,10287,72.7,54.9
00AHGX,11719,39.6,55.2
00ALHE,19730,94.5,55.5
00ASGR,10387,43.5,55.7
00ARGE,12466,50.6,55.7
00ARGD,12528,34.7,55.9
00AQGD,11376,65.5,56.3
00AJGT,15121,116.4,56.3
00ABGA,10021,100.4,56.4
00BHGG,14127,209.2,56.4
00AKGW,13006,40.6,56.5
00BDGE,11436,61.6,56.6
00BHGH,13194,79.5,56.7
00AHGJ,12244,39.3,56.8
00ALHD,13433,51.1,57.1
00AQFZ,12471,52.4,57.3
00ACGP,15159,49.2,57.7
00BBGT,10679,91.6,57.8
00ACGM,18451,82.4,59
00AFGF,15113,52.8,59.3
00BCGK,12953,91.1,59.8
00AFGJ,14831,70.1,60
00AKGX,14355,61.4,60.6
00ARGJ,12650,72.9,60.7
00ASGT,10469,57.1,61
00AHGP,13213,82.2,61.3
00ADGJ,11207,46.2,61.6
00BAGQ,8491,60.3,62.2
00BKGP,12067,76.4,62.2
00ASGX,12364,85,62.8
00BDGL,10330,56.1,64
00BCGU,11543,85.9,64.2
00AGGN,10955,92.1,65.2
00ADGR,11566,89.9,65.3
00AMGL,11098,61.9,67.7
00BFGG,9715,37.1,68.2
00ARGG,14692,86.2,68.4
00AKGP,13788,55.9,68.8
00BKGH,9270,184.9,69.1
00AFGH,14507,32.7,69.2
00AFGS,15906,38,69.5
00ADGX,12094,68.5,70.5
00BJGL,16132,84.7,70.6
00AFGE,9951,43.4,71.4
00BDGA,9985,56.6,74.7
00ARGK,13000,51.8,75.3
00AXGC,10232,49.4,75.7
00AFGM,15445,115.7,76.4
00BDFX,10348,58.3,76.7
00BCFY,14544,100.4,76.8
00ARGQ,12482,81.8,79
00AKGN,13762,52.5,81.5
00BDFZ,10317,65.8,81.9
00ARGW,12833,49.5,82
00ASGN,7399,67.4,85.5
00AFGQ,5110,58.6,88.8
00AZGW,16414,71.7,99.9
